check_id,area,applies_at_stages,severity(H/M/L),trigger_what_to_look_for,evidence_that_passes,recommended_next_steps(1-3),metrics_to_track,follow_up_questions_if_unknown
C001,Compliance & policies,S1;S2;S3,High,Handbook/policy index not found,Handbook OR policy index OR policy folder link,Draft handbook v1 core policies; publish + acknowledgement; set annual review cadence,Policy ack %,Do you have a handbook draft or policy folder?
C002,Compliance & policies,S0;S1;S2;S3,High,I-9 process not described / owner unclear,I-9 checklist + retention process,Assign owner; document I-9 workflow; ensure timely completion and retention,I-9 completion timeliness,Who completes I-9s and where are they stored?
C003,Compliance & policies,S2;S3,High,50+ employee threshold prompts not addressed (FMLA/ACA awareness),Documented compliance review cadence or external partner confirmation,Create annual compliance calendar; confirm coverage obligations with counsel/CPA; document responsibilities,Compliance calendar completion,Has someone reviewed FMLA/ACA obligations for your situation?
C004,Compliance & policies,S3;S4;S5,Med,EEO-1 reporting awareness not mentioned at 100+,EEO-1 process owner + data pull method,Assign owner; validate HRIS data; prepare annual submission workflow,EEO-1 readiness checklist,Do you currently file EEO-1 or qualify as a federal contractor?
C005,Compliance & policies,S1;S2;S3,Med,Complaint reporting path not clear,Policy describing how to report concerns,Publish reporting channels; train managers on escalation and documentation,# of reports; time to response,How do employees report concerns today?
C006,Compliance & policies,S2;S3,Med,Investigation/discipline process not documented,ER playbook / investigation template,Create investigation notes template; define decision owners; store case notes securely,ER cases logged %,Do you have a standard investigation template?
C007,Hiring & recruiting,S0;S1;S2;S3,High,Role scorecards not used,Scorecard template in use,Create scorecard per role; align hiring panel; require structured debrief,Offer acceptance rate; time-to-fill,Do you use interview scorecards today?
C008,Hiring & recruiting,S1;S2;S3,Med,Interview process inconsistent across teams,Documented interview loop + debrief template,Standardize interview loop; define competencies; train interviewers,Candidate NPS,How are interviews run and debriefed?
C009,Hiring & recruiting,S2;S3,Med,No recruiting funnel metrics tracked,Basic funnel tracking (source → screen → onsite → offer),Start weekly funnel reporting; identify bottlenecks; fix top 1 constraint,Conversion rates; time-in-stage,Do you track funnel stages anywhere?
C010,Hiring & recruiting,S2;S3,Med,Offer process lacks approvals / comp guardrails,Offer approval workflow + ranges/bands,Define offer approvals; create comp guardrails; reduce renegotiation churn,Offer cycle time,Who approves offers and comp today?
C011,Onboarding,S0;S1;S2;S3,High,Onboarding checklist not found,Checklist + owners + preboarding items,Create checklist; assign owners; include IT provisioning; schedule key meetings,Time-to-productivity; 0-90 day attrition,Do you have a standard onboarding checklist?
C012,Onboarding,S1;S2;S3,Med,No 30/60/90 expectations for new hires,Role-based 30/60/90 plan template,Create role-based 30/60/90 templates; manager review at 2 and 6 weeks,Manager satisfaction; ramp milestones,Do managers set ramp expectations?
C013,Onboarding,S2;S3,Med,No onboarding feedback loop,Survey or check-ins at 30/60/90,Implement new-hire check-ins; track themes; iterate onboarding,New-hire survey score,Do you survey/check-in with new hires?
C014,Manager enablement,S1;S2;S3,High,Managers lack guidance on feedback/documentation,Manager expectations doc + training,Create manager basics guide; train on feedback and documentation; run office hours,Manager 1:1 adherence,Do you provide manager training?
C015,Manager enablement,S2;S3,Med,Manager onboarding not defined,Manager onboarding checklist,Define manager onboarding; include HR processes + coaching skills,New manager confidence score,How do new managers learn expectations?
C016,Performance & feedback,S0;S1,Med,Goals/feedback cadence not explicit,Monthly/quarterly check-in template,Set quarterly goals; require monthly check-ins; use simple template,Goal completion,How often do managers do 1:1s?
C017,Performance & feedback,S2;S3,High,No structured performance cycle,Documented cycle + calibration-lite,Implement 2x/year cycle; define ratings or narratives; run calibration,Performance completion %,Do you run formal reviews?
C018,Performance & feedback,S3,Med,No PIP/underperformance workflow,PIP template + legal review guidance,Create workflow; align on documentation; ensure consistent application,PIP outcomes,How do you handle underperformance today?
C019,Comp & leveling,S1;S2;S3,High,No salary ranges/bands for common roles,Bands/ranges doc + update cadence,Create ranges for top roles; define offer guardrails; review annually,Offer exceptions,Do you have salary ranges?
C020,Comp & leveling,S2;S3,Med,Leveling/career expectations unclear,Leveling doc for core functions,Draft lightweight leveling; link to promotion criteria; socialize with managers,Promotion clarity survey,Do employees ask about promotion expectations?
C021,Systems & data,S1;S2;S3,Med,Employee data is scattered (spreadsheets + email),Single source of truth (HRIS or disciplined sheet),Define data owner; standardize fields; create employee directory,Data completeness %,Where do you store employee records?
C022,Systems & data,S2;S3,Med,HRIS not implemented by scaling stage,HRIS implemented or selection plan,Select HRIS; map workflows; migrate data; train admins,HRIS adoption rate,Are you on an HRIS today?
C023,Systems & data,S2;S3,Low,No ticketing/case tracking for HR requests,Inbox triage process or ticket tool,Set intake channel; define SLA; track recurring issues,Time to response,How do employees request HR help?
C024,Retention/ER/engagement,S1;S2;S3,Med,No exit interview process/themes,Exit template + themes log,Standardize exits; track themes quarterly; link actions to themes,Exit completion %,Do you do exit interviews?
C025,Retention/ER/engagement,S2;S3,Med,High early attrition not analyzed,Cohort analysis + root causes,Segment early churn; fix top drivers; improve onboarding/role clarity,0-90 day attrition,What’s 0–90 day attrition?
C026,Retention/ER/engagement,S2;S3,Low,No engagement pulse cadence,Pulse survey or structured check-ins,Run quarterly pulse; managers action plan top themes,Engagement score,Do you run any engagement survey?
C027,Org design,S2;S3,Med,Spans/layers unclear; role overlap,Org chart + role clarity docs,Clarify ownership; create RACI for top workflows; adjust manager loads,Manager span distribution,Do you have an org chart / clear ownership?
C028,Benefits,S1;S2;S3,Low,Benefits communication unclear,Benefits overview doc,Create benefits one-pager; onboarding benefits walkthrough,Benefits questions volume,Do employees understand benefits enrollment?
