deliverable,when_used(stages),whats_included,typical_timeline,inputs_needed,definition_of_done,optional_add_ons,template_links
Handbook v1 (core policies + roll-out),S1;S2,"Core policies set, acknowledgements plan, comms",2-4 weeks,Current policies; locations; benefits; values,Published handbook + acknowledgement tracking + annual review cadence,Manager training session; state addenda,
Onboarding playbook + checklist,S0;S1;S2,"Preboarding checklist, Day 1/Week 1 plan, role-based 30/60/90 templates",1-2 weeks,Tooling access list; key roles; manager inputs,Checklist live + owners assigned + template library,New-hire surveys at 30/60/90,
Hiring process kit (scorecards + debrief),S0;S1;S2;S3,"Role scorecards, interview training, debrief template",1-2 weeks,Top roles; competencies; interview panel,Scorecards in use + trained interviewers,Funnel dashboard setup,
Manager Essentials training + toolkit,S1;S2;S3,"1:1s, feedback, documentation, escalation paths",2-3 weeks,Manager list; pain points; policies,Managers trained + toolkit shared + office hours cadence,New manager onboarding module,
Performance cycle (annual + midyear),S2;S3,"Cycle calendar, forms, calibration-lite, comms",3-6 weeks,Role expectations; manager inputs,Cycle run end-to-end with completion reporting,Promotion process add-on,
Salary bands + offer guardrails,S1;S2;S3,"Bands for core roles, offer approval workflow, exceptions tracking",3-6 weeks,Job families; market sources; budget,Bands published internally + offer workflow adopted,Pay equity review,
HRIS selection + implementation,S1;S2;S3,"Requirements, vendor selection, workflows, data migration",4-10 weeks,Current tools; workflows; employee data,HRIS live + admins trained + data quality checks,ATS integration,
ER basics: case log + investigation templates,S1;S2;S3,"Intake channel, case log, templates, documentation norms",1-2 weeks,Current pain points; policies,Case log live + managers trained on routing,Hotline setup,
Engagement pulse + action planning,S2;S3,"Quarterly pulse, action planning toolkit",2-4 weeks,Audience; themes; managers list,Pulse run + action plans created,Focus groups,
People metrics dashboard (lite),S2;S3,"Hiring funnel, headcount, attrition, onboarding metrics",2-4 weeks,Data sources; HRIS/ATS access,Dashboard published + monthly review cadence,Executive monthly readout,
